Ergebnisübersicht:;;;;;;;
;;;;;;;
Kreuzungs-ID: 68; Kreuzungs-Name: Schneckenburger-Max-Stromeyer;;;;;;
Daten der vorgelagerten WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;proz. Stau
5;Ost: Links;0;0,59;4;21;18,68;
6;Süd: Rechts;3;2,97;5;261;100,77;
7;Süd: Gerade;0;2,02;5;219;67,13;
8;Süd: Links;0;1,16;3;209;40,17;
9;West: Rechts;0;0;0;0;0;
10;West: Gerade;0;0;0;0;0;
11;West: Links;0;0;0;0;0;
;;;;;;;
;;;;;;;
;;;;;;;
Kreuzungs-ID: 30; Kreuzungs-Name: Europa-Gartenstraße;;;;;;
Daten der vorgelagerten WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;proz. Stau
0;Vorgelagert-Nord;0;0,02;4;13;0,02;0
1;Vorgelagert-Ost ;0;0;0;0;0;0
2;Vorgelagert-Süd ;0;0,05;4;12;0,12;0
3;Vorgelagert-West;0;0;0;0;0;0
;;;;;;;
Daten der WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;
0;Nord: Rechts;0;0;0;0;0;
1;Nord: Gerade;0;0,34;4;15;11,66;
2;Nord: Links;0;0,19;4;15;6,13;
3;Ost: Rechts;0;0;0;0;0;
4;Ost: Gerade;0;0;0;0;0;
5;Ost: Links;0;0;0;0;0;
6;Süd: Rechts;2;0,66;5;23;19,9;
7;Süd: Gerade;1;0,35;5;16;12,09;
8;Süd: Links;0;0;0;0;0;
9;West: Rechts;0;0;0;0;0;
10;West: Gerade;0;0;0;0;0;
11;West: Links;0;0;0;0;0;
;;;;;;;
;;;;;;;
;;;;;;;
Kreuzungs-ID: 31; Kreuzungs-Name: Europa-Grenzbach;;;;;;
Daten der vorgelagerten WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;proz. Stau
0;Vorgelagert-Nord;0;0;1;4;0;0
1;Vorgelagert-Ost ;0;0;0;0;0;0
2;Vorgelagert-Süd ;105;39,96;105;325;323,38;67,49
3;Vorgelagert-West;0;0,02;3;12;0,18;0
;;;;;;;
Daten der WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;
0;Nord: Rechts;0;0,37;4;35;12,41;
1;Nord: Gerade;0;0,22;4;25;7,01;
2;Nord: Links;0;0,15;3;22;4,74;
3;Ost: Rechts;0;0;0;0;0;
4;Ost: Gerade;0;0;0;0;0;
5;Ost: Links;0;0;0;0;0;
6;Süd: Rechts;3;2,86;5;331;92,14;
7;Süd: Gerade;1;2,24;5;298;69,04;
8;Süd: Links;0;2,2;5;313;74,18;
9;West: Rechts;0;0,77;4;41;26,29;
10;West: Gerade;0;0,5;4;26;15,86;
11;West: Links;0;0,64;4;29;21,4;
;;;;;;;
;;;;;;;
;;;;;;;
Kreuzungs-ID: 8; Kreuzungs-Name: Reichenau-Oberlohn;;;;;;
;;;;;;;
Daten der WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;proz. Stau
0;Nord;10;0,85;10;79;5,33;0
1;Ost;7;2,46;17;85;3,15;0
2;Süd;0;0,45;8;19;2,3;0
3;West;1001;669,26;1001;1569;4360,47;94,48
;;;;;;;
;;;;;;;
;;;;;;;
Kreuzungs-ID: 12; Kreuzungs-Name: Oberlohn-Max-Stromeyer;;;;;;
;;;;;;;
Daten der WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;proz. Stau
0;Nord;0;0,03;3;5;0,23;0
1;Ost;0;0,03;2;5;0,21;0
2;Süd;0;0,02;2;5;0,13;0
3;West;0;0,03;2;5;0,18;0
;;;;;;;
;;;;;;;
;;;;;;;
Kreuzungs-ID: 78; Kreuzungs-Name: Petershausen-Gustav-Schwab;;;;;;
;;;;;;;
Daten der WS:;;;;;;;
WS-ID;Beschreibung;Länge;durchs. Länge;max Länge;durchs. Wartezeit;proz. Straßenauslastung;proz. Stau
0;Nord;0;0,01;2;5;0,05;0
1;Ost;0;0;0;0;0;0
2;Süd;0;0,02;2;5;0,1;0
3;West;0;0;0;0;0;0
